hostelnumber,num_reviews,description,score,features,policies
209,15,"Bright, sunny, and spacious self catering apartments with modern fitted kitchen/dinette area and sofa bed, separate bedroom with double bed, en-suite wc/shower, air conditioning, ceiling fans, furnished balconies with beautiful mountain and countryside views. The Villa is set in a stunning location on the outskirts of Naxos town, offering breathtaking views and scenery, 600m (7 minute walk) from St. George Beach and close to amenities and shops within easy strolling distance from the main Square in the town. Villa Kelly offers quiet, beautiful, peaceful surroundings, with views of the mountains and traditional Greek villages, but also the convenience of being within a very short distance from the beach and town center. There are loads of activities nearby, such as water sports, wind surfing, boating, hiking, horse riding, snorkeling, fishing. By far - your best choice in Naxos!",0,Air Conditioning|Bicycle Parking|Breakfast Not Included|Ceiling Fan|Cots available|Free Internet Access|Free Parking|Free WiFi|Fridge/Freezer|Self-Catering Facilities|Linen Included|Outdoor Terrace|Parking|Tea & Coffee Making Facilities|Towels Included|Utensils,Cash Only|Child Friendly|Credit Cards Accepted|No Curfew|Pet Friendly|Taxes Included
214,608,"You'll probably just love The Pickled Frog! We have free Mt Wellington trips, free Tassie Devil & MONA shuttles, free fast WiFi, free car park, two big fluffy Alaskan Malamute puppies, delicious organic coffee, Tasmanian craft beers & ciders, hammocks, couches everywhere and Heaps of space for you to kick back and relax! Emma, Jimmy and all the Frog team are here to look after you! Located in the heart of beautiful Hobart we are perfectly placed for you to explore all the city has to offer. Mountain trip leaves Monday and Thursday mornings. Devils & MONA trip leaves Wednesdays. For Frog guests only :) We are located only a 5-8 minute stroll to Salamanca Place, Hobart's Waterfront and the Town Centre. The hostel has been recently refurbished, without losing any of the relaxed atmosphere or old building charm we've become famous for. Our aim at The Pickled Frog is to provide you with an all round fabulous Tasmanian experience. Our local staff are here to book your tours, help with travel advice, entertain you and serve you specially priced Tasmanian beers at the end of a long day. We have dorm rooms and private rooms available for your stay, along with all the facilities we think you need for a great hostel experience. Internet cafe with WiFi, in-house bar, large communal kitchen, comfy lounges, big screen TV, inner spring mattresses, off street car parks' just to name a few. At The Pickled Frog we are also committed to being as environmentally friendly as possible, and to giving back to the community. Check out our Global Responsibilities page for more on our Carbon Offset Program and how we contribute to help others. We look forward to seeing you here at The Pickled Frog!",89,24 Hour Security|Bar|BBQ|Bicycle Parking|Board games|Book Exchange|Cable TV|Cafe|Common Room|DVD's|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Foosball|Games Room|Hair Dryers|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Jobs Board|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Parking|Pool Table|Shuttle Bus|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Washing machine|Wii,Age Restriction|Credit Cards Accepted|No Curfew|Non Smoking
215,97,"Located in the Cow Bay Tourist district of downtown Prince Rupert, this hostel provides a casual, relaxing and friendly stay in an exceptionally spotless and extensively renovated heritage building. Both private rooms and dorm style rooms are offered to meet every budget, with single use bathrooms for privacy. There is a large green garden with a BBQ area and fire-pit to meet other travelers and share stories. Rates starting at $25 per person. Best to book ahead during the summer months. Please note once booked we will contact you for the CVC code on your credit card to reconfirm your booking, failure to confirm this may result in your booking being cancelled. Hostel Amenities: FREE wireless high speed internet Downtown location 2 minutes from waterfront 2 minute walk to grocery market and pubs Huge backyard with BBQ and fire pit Lots of local discount partners (restaurants, coffee shop, wildlife tour) *** Please note; taxes are not included in price *** Office Hours: June - September office is open 8:00 AM to 10:00 PM (open late on ferry nights from Port Hardy until 12:00 AM) October - May office is open 9:00 AM to 9:00 PM",92,Adaptors|BBQ|Bicycle Parking|Board games|Book Exchange|Breakfast Not Included|Cable TV|Card Phones|Common Room|DVD's|Free City Maps|Free Internet Access|Free Parking|Hair Dryers|Hot Showers|Internet Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Outdoor Terrace|Parking|Reading Light|Tea & Coffee Making Facilities|Towels Included|Vending Machines|Washing machine|Wheelchair Friendly,Child Friendly|Credit Cards Accepted|No Curfew|Non Smoking|Pet Friendly|Taxes Not Included
218,10,"'Villa Cennina' is a fifteenth century Villa at the foot of Sienas Montagnola. It is run by ANSPI a sporting and cultural organization inspired to ethical and spiritual values. We offer a quaint and simple accommodation in the heart of the rolling Tuscan countryside. Ancient place of pilgrimage along the Francigena Route since the year 1000, it is the perfect place to appreciate whats most enchanting about Tuscany. Its landscapes and the poetry of sustainable interaction between man and nature, make it an deal place for whoever is looking for tranquility, simplicity and inspiration. Please advice about arrival time. Check-in time: from 14.00 Check-out time: until 11.00",0,Breakfast Not Included|Free WiFi,Credit Cards Not Accepted|Pet Friendly|Taxes Included
226,61,"Fata Morgana is a fine budget hotel/hostel offering the best room rates available in Las Terrenas.The hotel lies midway between the tourist beaches of Las Terrenas and the more peaceful Playa Bonita and Coson.Playa Bonita and Playa Coson are considered by many to be the best beaches in the Dominican Republic,presently largely undeveloped. Our hotel resides away from the busy streets in a large garden.At present there are 6 large rooms.The rooms are simple but spacious.They all comprise a large sleeping area,an en suite bathroom,fan and screened windows to save you from mosquitoes while you sleep.Each room also has its own veranda with rocking chairs and hammock. We have a communal kitchen ,bbq and pleasant outdoor dining area for our guests at any time There is a book exchange in many different languages. The owner is a tour guide by profession,speaks 5 different languages and always available to answer questions or organize tours if required during your stay. Finally no write up of Fata Morgana would be complete without the mention of the small menagerie here.Two cats ,four dogs and two donkeys will relish any opportunity to make our resident feel at home. To make life even more comfortable, you can connect 24 hours to WIFI for NO charge. Posibility to rent small motos.",70,24 Hour Reception|Adaptors|Airport Transfers|BBQ|Book Exchange|Breakfast Not Included|Ceiling Fan|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Fridge/Freezer|Hot Showers|Housekeeping|Internet Access|Laundry Facilities|Linen Included|Luggage Storage|Meeting Room|Outdoor Terrace|Parking|Postal Service|Reading Light|Tea & Coffee Making Facilities|Tours/Travel Desk|Wi-Fi,Child Friendly|No Curfew|Pet Friendly|Taxes Included
227,47,"Buddy Lodge is perfectly situated in the historic district of Bangkok and within walking distance of all the great historical places in Bangkok including the Grand Palace, Golden Mount, The Temple of the Reclining Buddha (Wat Pho), Democracy Monument, and many other cultural sites in Bangkok City Old Town. It is also surrounded by loads of activities including shopping, restaurants, and the very best in nightlife on Khaosan Road. Buddy Lodge is decorated with Colonial and Thai architectural style, offering 76 comfortable spacious rooms. Each room is furnished with modern facilities and comfortable amenities.",89,24 Hour Reception|Air Conditioning|ATM|Bar|Breakfast Not Included|Business centre|Cots available|Currency Exchange|Elevator|Telephone/Fax Facilities|Free Internet Access|Free WiFi|Fitness Centre|Hair Dryers|Hot Showers|Housekeeping|Internet Access|Laundry Facilities|Luggage Storage|Minibar|Nightclub|Outdoor Swimming Pool|Outdoor Terrace|Pool Table|Restaurant|Safe Deposit Box|Swimming Pool|Tours/Travel Desk|Wheelchair Friendly,Child Friendly|Credit Cards Accepted|No Curfew|Taxes Included
234,148,"Our guesthouse is located on the biggest and most famous shopping street in Vienna, which was rebuilt to a pedestrian zone in 2014. The history of the street reaches to the early 1850’s and is connecting the city center with the suburb Penzing. The history of our house is stamped with the history of the drugstore “zum goldenen Schuh”, which exists since 1869, when the house was build. So you can expect a nice, classic old building with high ceilings. Our guesthouse is located in the 3rd floor, leaving behind the lively ambience of the pedestrian zone. There are many places to eat, including coffee houses (from Starbucks to the traditional Viennese), bars, bakeries, restaurants, deli's and family style establishments in the area and for this reason we have found out that our guests prefer to go out for breakfast. Therefore we do not serve breakfast. We provide a kettle and mugs in your room with coffee and tee bags for your first morning. There are no kitchen facilities available in the house. The Naschmarket is only a 10 min. walk away and it is open 6 days a week. You will find fresh fruit and vegetable stands, international deli's and food stalls offering inexpensive meals. On Saturdays there is also a popular Flee market. The Spittelberg area, noted for its student bars and artistic shops, is about a 5 min walk away. When you check in, we offer a detailed outline as to what to do in Vienna, along with a city map to make your stay as easy and enjoyable as possible. We are also happy to offer advice on eating out, museums, using the public transportation, events, etc. Please note: We are located on the 3rd floor and there is no elevator. Travelers with very heavy luggage or health problems will need to consider this when booking with us. Free Internet access is available 24 hours/7days. Fax and telephone services can be used at regular charges. We can take care of your laundry for a minimal extra fee. An iron, ironing board and hairdryer are available any time for free. We offer free luggage storage after check out, where you perhaps have a late departure from Vienna or if you arrive early and the room is not yet ready. We have one big apartment with parquet floor, wing doors and high and sunny rooms is app. 70m² big. The apartment has a large living room, two bedrooms, one bathroom with a bathtube and toilet. Further on a fully equipped kitchen with stove, refrigerator, crockery, dishwasher, microwave, coffee maker, toaster and kettle is available. There is also a washing machine. For media enterainment there is a cable flat screen TV and unlimited WIFI access available. our another three double rooms have traditional high ceilings, parquetry floors and decorated in a simple soft classic style. All rooms are very clean, light and bright, with one room facing an inner courtyard and the other two onto one of Vienna's most popular streets. The rooms are equipped with towels, soap, W.C. rolls and clenex. Our guesthouse is strictly non-smoking but we have a smoking area. Our prices include all taxes and a daily cleaning service. Prices can vary based on the season (Christmas and Easter) and if you book a room via a reservation system or travel agent. Reservations should be secured by Visa or Master card, but we will ask you to pay us here in cash. It is very important that you inform us of your arrival time. We are managing a family style establishment, so we need to know when to expect you, as we are not always at home. Thank you.",93,Air Conditioning|Airport Transfers|Book Exchange|Breakfast Not Included|Cable TV|Ceiling Fan|Cots available|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers|Housekeeping|Internet Access|Laundry Facilities|Luggage Storage|Parking|Tea & Coffee Making Facilities|Towels Included,Child Friendly|Credit Cards Not Accepted|No Curfew|Non Smoking|Taxes Included
245,368,"Free WiFi (use in the lobby), free use of bicycles. Free city map. We are a lively, warm hostel with many years experience looking after our guests. A highly rated Bord Failte approved hostel, our friendly staff are always willing to lend a helping hand. We are central and it is just a short walk to the Temple Bar(about 20 min),Grafton Street(7 min), City Center, St. Patrick's Cathedral and St. Stephens Green. Alternatively you could catch one of the buses that run directly past our front door including the 16 bus that runs to and from Dublin Airport. From O'Connell Street you can take buses 16, 9, 122 to our house. Also we are just 5 minutes walk away from Luas stop on Harcourt Street. We have double rooms, twin rooms, triple rooms, quadruple rooms as well as a four bed mixed dorm. All rooms come with an En-suite bathroom, TV continental breakfast (toast, marmalade, jam, cornflakes, coffee, tea, juice) . Hair dryers and hair straighteners on request. Kitchen open for customers use from mid-day until 9 pm. We have a small back yard for smoking. There is only priced street parking available. We accept credit cards. Check-in from 14.00. Latest check-in 22.00. Please do let us know your estimated arrival time to Harrington House. Especially if you will arrive after 22.00.",0,Adaptors|Bicycle Hire|Bicycle Parking|Board games|Free Breakfast|Common Room|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers|Hair Dryers For Hire|Self-Catering Facilities|Linen Included|Luggage Storage|Meeting Room|STEAMROOM|Tours/Travel Desk|Towels Included,Age Restriction|Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
247,1,"The Hotel Westfalenhaus is in a quiet but central location of Asuncin and should be YOUR starter point for all the adventure and city trips as well as recreational activities. A big modern Fitness Center is just around the corner. We have very nice and comfortable bedrooms ( kingsize and queensize beds) waiting for our guests, each of them with bathroom, air-conditioning, Cable TV (including US-Cable programs), phone with direct international access and mini bar (for free). A beautiful swimming pool with shady terraces and garden-bar is part of what we have to offer, like conference-rooms, restaurant, nice yards and parking space 10% discount of the total amount of paying on arrival if you pay cash at the hotel",0,24 Hour Reception|24 Hour Security|Air Conditioning|Airport Transfers|Bar|Free Breakfast|Business centre|Cable TV|Café|Ceiling Fan|Currency Exchange|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Fitness Centre|Hair Dryers|Hot Showers|Hot Tub|Housekeeping|Internet Access|Laundry Facilities|Security Lockers|Luggage Storage|Meeting Room|Minibar|Outdoor Swimming Pool|Parking|Pool Table|Postal Service|Restaurant|Safe Deposit Box|Swimming Pool|Tea & Coffee Making Facilities|Tours/Travel Desk|Vending Machines|Wheelchair Friendly,Credit Cards Accepted|No Curfew|Taxes Included
249,849,"We are a non smoking backpackers hostel in the centre of Interlaken. All rooms and dorms have a sink with hot & cold water, and we also have rooms with shower/WC ensuite. We offer you free W-LAN and an internet terminal for free use as well. Use our fully equipped kitchen for free and relax in the common room (with TV) or on our roof-top terrace. We offer washing and laundry facilities. Small breakfast included in room rate. Our young, well travelled staff can help you to organize your adventure trips (river rafting, bungy jumping, canyoning, paragliding, mountain trekking, snowboarding, sledding, heli-skiing, ice climbing and many more). And don't forget to check out our bar - the Riverside Bar - famous for its Rum-Cocktails. Try them all... Reception (check in) hours: 14.00 to 23.00. On Sunday and Monday check-in is possible untill 22.00. If you are arriving early you are welcome to leave your bags in our luggage room. If you arrive late we ask you to inform us accordingly. For late Check-in after 24.00 we may charge CHF 25.00. City tax of CHF 3.00 per person per night is not included in the room rate and will be charged at check-in. We look forward to welcoming you soon!",85,Adaptors|Bar|Bicycle Hire|Bicycle Parking|Free Breakfast|Common Room|Currency Exchange|Elevator|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers For Hire|Hot Showers|Internet Access|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Outdoor Terrace|Parking|Reading Light|STEAMROOM|Tours/Travel Desk|Towels for hire|Washing machine,Credit Cards Accepted|No Curfew|Non Smoking|Taxes Not Included
251,752,"Do you want to stay at Kilkenny's oldest most well-established and best located Hostel? If you're a Backpacker, Tourist, Student, Family or a Group of Friends looking for cheap and comfortable Dorm or Private Rooms you've come to the right place. Dorms start from only 14 Euro and Doubles/Twins from 18 Euro per person. PERFECT LOCATION -Youll be in a brilliant central location with everything on your doorstep. -Opposite 5 pubs, close to Kilkenny Castle, St Canices Cathedral and nearby lots of cafes and shops. -The Smithwicks Brewery Experience is just a few doors up on Parliament street. -You'll be well placed to explore the windy laneways and medieval charm of Kilkenny, or cycle, bus or drive out to Jerpoint Abbey, Dunmore caves or Kells Priory LOVELY OLD HOUSE -You'll be sleeping in a 280 year old Georgian Townhouse thats full of character and has loads of original features plus important stuff like free WIFI and free computer access. -Cook in the fully equipped self catering kitchen -Chill out and relax in the sitting room and chat to fellow travellers in front of the turf burning open fire -Choose between clean spacious Private Double. Twin, Family Rooms or 3 bed, 6 bed and 8 bed Dorms -Get your laundry washed and dried for only 5 Euro -Enjoy the relaxed vibe and chilled out atmosphere LOCAL KNOWLEDGE -You'll get loads of insider tips and local knowledge about the best things to do to make your visit really great. - Know about the quality Traditional music sessions, the best cheap eats, great gigs and the must sees. -Friendly helpful and smiley staff will give you the lowdown on the city and make you feel at home! WHAT'S FREE? -WiFi and computer access -Tea and Coffee -Linen -Towels -Lockers (bring your own padlock) -Luggage storage on the day you check out. -Hot showers 24/7 and none of those nasty push button things! WHAT YOU NEED TO KNOW -Reception is open from 9am til 11pm for check ins -Payment is in cash on arrival -All groups are required to pay a security/noise deposit in cash when checking in. By making a booking you agree to this condition - We do not accommodate Hen or Stag groups -We will not check anyone in who comes to the Reception inebriated / under the effects of alcohol and the booking will be cancelled. THE THUMBS UP We know recommendations are important to you. Lonely Planet, Routard, Lets Go, Rick Steves and the Irish Tourist Board all give us the thumbs up. We've been in business for over 20 years and we look forward to welcoming you to our Hostel having a chat and helping you enjoy this great city. Guide Books Mention: 'In a rambling 1770s Georgian townhouse, this wonderful independent hostel has a charming, cosy sitting room warmed by a glowing open fireplace, and a timber- and leadlight-panelled dining room. There's a decent self-catering kitchen and staff are ace. An excellent notice board lists gigs and events around town as well as info about tours. The staff also chalk up the best cheap eats and places for a pint on a blackboard in the reception area'",86,Adaptors|Bicycle Parking|Book Exchange|Card Phones|Common Room|Cooker|Dryer|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers|Hair Dryers For Hire|Hot Showers|Internet Access|Iron/Ironing Board|Self-Catering Facilities|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Microwave|Parking|Reception (limited hours)|Tea & Coffee Making Facilities|Towels for hire|Utensils|Washing machine,Child Friendly|Credit Cards Not Accepted|No Curfew|Non Smoking|Taxes Included
253,27,"The HOTEL CONQUISTADORES and its administration want to welcome you to the city of Medelln and offer you its new services We are located in downtown Medelln near metro train stations, theaters, banks, museums, shopping malls, etc. All rooms are equipped with: T.V. cable Telephone local free Private bathroom hot water Electric fan restaurant security box wifi Come and enjoy Hotel Conquistadores while you get to know Medellin, we'll be happy to help you discover our city!",80,24 Hour Reception|24 Hour Security|Airport Transfers|Breakfast Not Included|Cable TV|Café|Ceiling Fan|Currency Exchange|Direct Dial Telephone|Telephone/Fax Facilities|Free City Maps|Free WiFi|Hot Showers|Housekeeping|Internet Access|Laundry Facilities|Security Lockers|Luggage Storage|Parking|Restaurant|Safe Deposit Box|Tea & Coffee Making Facilities|Tours/Travel Desk,Credit Cards Accepted|No Curfew|Pet Friendly
254,385,"Free airport, bus and train pickup, a huge swimming pool and a great bar and bistro! Nomads Cairns Backpackers Resort is the ultimate tropical backpackers hostel located just minutes from major transportation and attraction's such as the Esplanade Lagoon. Nomads Cairns Resort has a variety of rooms to suit all needs including King private rooms, doubles and twins with and without ensuites, 8, 6, and 4 bed dorms with shared facilities, and female and male only rooms. All rooms are air-conditioned with lockers and all linen is provided. Nomads Cairns offers you outstanding value for your hard earned dollars with competitive nightly rates being just the beginning. We also offer an in house travel desk, Mad travel ensures the best prices to experience the reefs, rainforests and surrounding tropical islands, 24 hour internet terminals including wireless access, communal kitchen and laundry, a large swimming pool with sun baking areas, a volleyball court, the Serpent Bar and bistro with nightly specials and activities, a free daily breakfest of toast, tea and coffee, and a free pick up from the airport and bus terminals including free shuttle service into the heart of Cairns city. Our accommodation has been designed to provide you with a great nights sleep and includes everything you need to enjoy the great Tropical North Queensland lifestyle, with no hidden extras. Standard features include full air-conditioning, secure storage area, security card room access, cupboard space, free clean linen and comfortable beds!",75,24 Hour Security|Air Conditioning|Airport Transfers|ATM|Bar|BBQ|Bicycle Parking|Book Exchange|Free Breakfast|Cable TV|Cafe|Common Room|Telephone/Fax Facilities|Free Airport Transfer|Free City Maps|Free Parking|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Meals available|Mini-Supermarket|Outdoor Swimming Pool|Outdoor Terrace|Parking|Pool Table|Postal Service|Restaurant|Safe Deposit Box|Shuttle Bus|Swimming Pool|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Vending Machines|Wheelchair Friendly,Child Friendly|Credit Cards Accepted|No Curfew
257,132,"Superbly located for an exceptional beachfront experience, Moana Lodge offers excellent accommodation facilities combined with amazing sea views. Just ten steps from the water’s edge and overlooking Plimmerton Bay, it provides the ultimate stay for a peaceful relaxing break. Being an accredited 5 star backpackers, all facilities are immaculate and well kept. With a fully equipped farmhouse kitchen, outdoor courtyard, and friendly welcoming hosts, you can be assured of a peaceful relaxing stay. Situated just 20 mins from Wellington city, with easy access to public transport, you can truly get out and about enjoying all that the Capital has to offer. And at the end of a fun filled day you can come home, relax, and enjoy a wine in our sunny outdoor courtyard! Moana Lodge offers a superb range of rooms catering for groups, families, couples and individuals. With a combination of single, twin, double and larger family rooms, you can choose the option that best meets your requirements and budget. And for backpackers travelling alone, enjoy your stay in our 4-bed share room. As quoted by Lonely Planet: “…this exceptional backpackers right on the beach is immaculate and inviting…”. Moana Lodge also attained the Trip Advisor Certificate of Excellence for 2012 and 2013.",83,BBQ|Bicycle Parking|Board games|Book Exchange|Breakfast Not Included|Cable TV|Common Room|Cots available|Free Internet Access|Free Parking|Free WiFi|Hair Dryers|Hot Showers|Housekeeping|Internet Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Luggage Storage|Outdoor Terrace|Parking|Safe Deposit Box|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels Included|Vending Machines|Washing machine,Child Friendly|Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
258,30,"In Litinterp Guest House we offer newly renovated single, double, twin and triple rooms. The Guest house is located in historical Puodziu street 17, Klaipeda Old Town. Comfortable wooden furnished rooms with separate en-suite bathrooms, safety alarm system, tea/coffee facilities. Some rooms have cable TV, cd player, refrigerator. In all rooms heated bathroom floor.Guests have their own keys with access to rooms at any time. Our staff does its best to make you feel at home. Administration hours: I-V 08.00-19.00; VI 10.00-15.00; VII closed There is 30 LTL extra charge for arrival after 22.00 o'clock. Check In time is 2 p.m. and Check Out time is 11 a.m. Accepted Payment Methods:Cash, credit cards (Visa/Master Card) Open all year round In summer season minimum stay: 2 nights Airport pick up can be arranged Additional services: rent a car & guide/translation services Every client receives a recommended complimentary Vilnius In Your Pocket guide! On site or nearby attractions:Live Music, Movie Theater, Drama Theater, Beach, Clock Museum, Dolphinarium, Religious Services, River, Lagoon, Art Galleries. Distances: 0,5 km to local ferry, 3 km to Sea Museum & Dolphinarium, 3 km to the beaches, 25 km to Palanga (nearest airport), 50 km to Nida",94,Cable TV|Telephone/Fax Facilities|Free City Maps|Free WiFi|Hair Dryers|Hot Showers|Internet Access|Self-Catering Facilities|Luggage Storage|Parking|Tea & Coffee Making Facilities|Towels Included,Child Friendly|Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
259,456,"Bondi Beach's only purpose built hostel, operating since 1996. Located on cafe & bar lined Hall Street, right in the centre of Bondi Beach, just 20 minutes from the airport & the City. We offer clean, safe, modern and fun accommodation. We have dorms, doubles, twins, triples & family rooms. When you stay at Surfside you get free tea, coffee and breakfast plus free use of our surfboards, body boards, roller blades, snorkels & masks and fishing rods! Table tennis and a basketball court are also available for you! Awesome! We can also help you with airport shuttles, getting a tax file number, getting bank accounts ready for your arrival, mobile phones, sim recharges/credit, power adapters plus much more. Our office crew will be happy to help with any kind of travel ideas & can make bookings for you. We can help you get a job too with a free employment pack, free employment agency lists and employment training such as getting your RSA or white card. Best of all we can give you an awesome Sydney experience with our free Sydney guides. At check in we will provide our famous and popular 'Sydney in 3 days for just $21' guide If you book the 14 bed mixed dorm you will be housed at either Surfside Bondi Beach or Surfside Coogee Beach. You will receive a confirmation email advising which property you will be housed at. We really look forward to making your stay a great one! The Surfside Bondi Beach Team",68,24 Hour Security|Adaptors|Air Conditioning|Airport Transfers|BBQ|Bicycle Parking|Board games|Book Exchange|Free Breakfast|Cable TV|Card Phones|Ceiling Fan|Common Room|Cooker|Cots available|Dryer|DVD's|Free City Maps|Free Internet Access|Free Parking|Fridge/Freezer|Games Room|Hair Dryers|Hot Showers|Housekeeping|Internet Access|Iron/Ironing Board|Jobs Board|Self-Catering Facilities|Late check-out|Laundry Facilities|Security Lockers|Luggage Storage|Meeting Room|Microwave|Outdoor Terrace|Parking|Postal Service|Reception (limited hours)|Safe Deposit Box|Shuttle Bus|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Utensils|Vending Machines|Washing machine|Wi-Fi,Credit Cards Accepted|No Curfew
261,18,"Carlingford Hostel provides budget accommodation in Carlingford Village. Ideal if you are a lone traveller or part of a group. The village is a 'hidden gem' with fantasitc scenery and quaint little streets to wander around (and find the pubs!!) Walking distance to all the pubs and resturants and a great starting point for hill walking. The hostel is part of the Carlingford Adventure Centre were you can take part in a range of outdoor pursuits including windsurfing, canoeing, sailing, kayaking, abseiling, rock-climbing, archery, High Ropes Course. The hostel is 25 minutes from Dundalk & 15 minutes from Newry. Buses are not regular so worthwhile checking out timetables.",0,24 Hour Reception|24 Hour Security|Common Room|Games Room|Hot Showers|Self-Catering Facilities|Linen Included|Luggage Storage|Pool Table|Reading Light|Safe Deposit Box|Towels for hire|Wheelchair Friendly,Credit Cards Accepted
268,5,"Ardenbeg Bunkhouse – a part of the award-winning Craggan Outdoors activity centre – offers good value accommodation for up to 23 people on a quiet road in Grantown-on-Spey, the historic capital of Strathspey in the Cairngorms National Park, just 15 minutes from Aviemore. Accommodation is in private rooms of four beds (two standard bunks), a five bed room (two standard bunks & a single bed), a six bed room (one double bunk & one standard bunk), & eight beds (four standard bunks), each with private bathroom facilities. The rooms are split across an upper and lower bunkhouse, each with separate access. The upper bunkhouse sleeps ten people across the four & six bed rooms, has two bathrooms & a well-equipped kitchen / dining / common room area. The lower bunkhouse sleeps thirteen people across the five & eight bed rooms, & also has two bathrooms & a well equipped kitchen / dining / common room, as well as a washing & drying room with dehumidifier. Outside is an enclosed garden, with children's play area & charcoal BBQ which is available for use by all occupants. Accordingly Ardenbeg can be booked by bed, by room, by upper or lower bunkhouse, or the whole bunkhouse for larger groups. Bedding is included in our rates – but bring your own towels & toiletries – as is free WIFI, and we also offer winter walking / climbing equipment hire on site. A wide range of outdoor activities is also available to book alongside the accommodation. Rates range from £16.50 to £24 per person per night, dependent upon size of group and duration of stay, on a self-catering basis.",0,24 Hour Reception|BBQ|Bicycle Hire|Bicycle Parking|Board games|Book Exchange|Breakfast Not Included|Common Room|Free Parking|Free WiFi|Hair Dryers|Hot Showers|Self-Catering Facilities|Laundry Facilities|Linen Included|Luggage Storage|Outdoor Terrace|Tea & Coffee Making Facilities|Towels for hire|Vending Machines|Washing machine,Child Friendly|Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
270,289,"Lonely Planet has included The Valley House in it's list of 'The Best Places to Stay in Ireland'! and we are also listed as their 'Top Pick' for accommodation on Achill Island. Why not cycle or walk Mayo's magnificent GREENWAY? We can arrange pick up/drop off - just ask us for more information. The Valley House Hostel and Traditional pub is on Ireland's wild and beautiful west coast. Our historic Victorian house is located on scenic wooded grounds close to Blue Flag beaches. We have a 9-hole Pitch & Putt course and a beautiful lake stocked with trout on our grounds. The music sessions, darts and pool table in our friendly pub will keep you happy in the evenings. Our courtyard is a lovely place to sit out and enjoy the fresh air. We are open all year, individual and group bookings are welcome. We have full self-catering kitchen facilities and a large dining room & residents lounge for your use. Achill is a stunning island, connected to the mainland by a bridge...just 50 minutes drive from Westport if you are driving or take the bus (see directions). Groups are welcome and cooked breakfast and other meals can be provided for groups by prior arrangement. Free WiFi Internet Access Free Showers Free Light Breakfast All Bed Linen is provided PLEASE NOTE Family rooms are available but children are not allowed in mixed dorms unless the family group takes all the beds in that dorm. Achill Island is connected to the mainland by a bridge. -Central heating; cosy turf fires -Barbeque area in our courtyard -Group rates available -Family-run; helpful & friendly atmosphere -Bike Hire available locally -Surfing, KiteSurfing, Kayaking - lessons & equipment arranged -Golf, Horseriding, Hillwalking locally Some Comments From Our Guests: What an enchanting house that was so welcoming when we walked through the door...I loved the sessions in the pub....Nicole, Galway Gorgeous house with very friendly staff. We enjoyed our stay more than anywhere else in Ireland...perfect paradise for backpackers and mountaineers!..Jackie & Shane, Ireland We wish we could stay here for ever...Fantastic evening with great musicians...Flo & Vc, France",88,Bar|BBQ|Bicycle Hire|Free Breakfast|Cable TV|Common Room|Free Internet Access|Free Parking|Internet Access|Self-Catering Facilities|Linen Included|Luggage Storage|Outdoor Terrace|Parking|Pool Table,Credit Cards Accepted|No Curfew
